number,citation,signing_date,document_number,notes
13376,,2005-04-13,05-7830,"Amends: EO 12863, September 13, 1993
See: EO 13070, December 15, 1997; EO 13301, May 14, 2003"
13377,,2005-04-13,05-7831,"Revokes: EO 11767, February 19, 1974"
13378,,2005-05-12,05-9892,"Amends: EO 12788, January 15, 1992"
13379,,2005-06-16,05-12284,"Amends: EO 13369, January 7, 2005
See: EO 13386, September 30, 2005; EO 13446, September 28, 2007"
13380,,2005-06-17,05-12354,"Amends: EO 13369, May 13, 1994"
13381,,2005-06-27,05-13098,"Amends: EO 12171, November 19, 1979
See: EO 12958, April 17, 1995
Amended by: EO 13403, May 12, 2006; EO 13408, June 29, 2006; EO 13436, June 28, 2007
Revoked by: EO 13467, June 30, 2008"
13382,,2005-06-28,05-13214,"Amends: EO 12938, November 14, 1994
See: EO 12735, November 16, 1990; EO 13094, July 28, 1998; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009"
13383,,2005-07-15,05-14452,"Amends: EO 12139, May 23, 1979; EO 12949, February 9, 1995"
13384,,2005-07-27,05-15160,
13385,,2005-09-29,05-19993,"Amends: EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 13226, September 30, 2001; EO 13231, October 16, 2001
Supersedes in part: EO 13316, September 17, 2003
Revokes: EO 13283, January 21, 2003; EO 13326, January 27, 2004; EO 13328, February 6, 2004
Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002
Superseded in part by: EO 13446, September 28, 2007"
13386,,2005-09-30,05-20156,"Amends: EO 13369, January 7, 2005
See: EO 13379, June 16, 2005; EO 13446, September 28, 2007"
13387,,2005-10-14,05-20944,"Amends: EO 12473, April 13, 1984
See: EO 12958, April 17, 1995"
13388,,2005-10-25,05-21571,"Revokes: EO 13356, August 27, 2004
Amends: EO 13311, July 29, 2003
See: EO 12958, April 17, 1995"
13389,,2005-11-01,05-22132,"Amended by: EO 13403, May 12, 2006; EO 13463, April 18, 2008"
13390,,2005-11-01,05-22133,"Amended by: EO 13463, April 18, 2008; EO 13504, February 19, 2009; EO 13512, September 29, 2009"
13391,,2005-11-22,05-23412,"Amends: EO 13288, March 6, 2003
Supersedes in part: EO 13288, March 6, 2003
See: Notice of February 27, 2006; Notice of February 28, 2007; Notice of March 4, 2008; EO 13469, July 25, 2008; Notice of March 3, 2009; Notice of March 1, 2010"
13392,,2005-12-14,05-24255,
13393,,2005-12-22,05-24596,"Supersedes: EO 13368, December 30, 2004"
13394,,2005-12-22,05-24597,"Revoked by: EO 13533, March 1, 2010
Revokes: EO 13000, April 24, 1996; Memorandum of June 2, 2005"
13395,,2006-01-13,06-554,
13396,,2006-02-07,06-1316,"See: Notice of February 5, 2007; Notice of February 5, 2008; Notice of February 4, 2009; Notice of February 2, 2010"
13397,,2006-03-07,06-2362,
13398,,2006-04-18,06-3865,
13399,,2006-04-25,06-4085,"See: EO 13338, May 11, 2004; EO 13460, February 13, 2008; Notice of May 8, 2006; Notice of May 8, 2007; Notice of May 7, 2008; Notice of May 7, 2009; Notice of May 3, 2010; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011"
13400,,2006-04-26,06-4121,"See: EO 13067, November 3, 1997; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 2008; Notice of October 27, 2009"
13401,,2007-02-27,06-4132,"See: EO 12820, November 5, 1992"
13402,,2006-05-10,06-4552,"Amended by: EO 13414, November 3, 2006"
13403,,2006-05-12,06-4652,"Amends: EO 11030, June 19, 1962
Amends: EO 13279, December 12, 2002
Amends: EO 13339, May 13, 2004
Amends: EO 13381, June 27, 2005
Amends: EO 13389, November 1, 2005
Revokes: EO 13011, July 16, 1996"
13404,,2006-06-07,06-5351,
13405,,2006-06-16,06-5592,"See: Notice of June 14, 2007; Notice of June 6, 2008; Notice of June 12, 2009; Notice of June 8, 2010"
13406,,2006-06-23,06-5828,"See: EO 12630, March 15, 1988"
13407,,2006-06-26,06-5829,"Amends: EO 12472, April 3, 1984"
13408,,2006-06-29,06-5984,"Amends: EO 13381, June 27, 2005"
13409,,2006-07-03,06-6101,
13410,,2006-08-22,06-7220,
13411,,2006-08-29,06-7492,
13412,,2006-10-13,06-8769,"See: EO 13067, November 3, 1997; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 2008; Notice of October 27, 2009"
13413,,2006-10-27,06-9020,"See: Notice of October 24, 2007; Notice of October 22, 2008; Notice of October 20, 2009"
13414,,2006-11-03,06-9148,"Amends: EO 13402, May 10, 2006"
13415,,2006-12-01,06-9561,"Revokes in part: EO 12748, February 1, 1991; EO 12828, January 5, 1993"
13416,,2006-12-05,06-9619,"See: EO 12866, September 30, 1993"
13417,,2006-12-06,X06-11208,"See: EO 13429, April 4, 2007"
13418,,2006-12-14,06-9770,"Amends: EO 13317, September 25, 2003"
13419,,2006-12-20,06-9895,"See: EO 12881, November 23, 1993; EO 13346, July 8, 2004; EO 13479, November 18, 2008"
13420,,2006-12-21,06-9896,"Supersedes: EO 13393, December 22, 2005
Superseded by: EO 13454, January 4, 2008"
13421,,2006-12-28,06-9993,"See: EO 11582, February 11, 1971"
13422,,2007-01-18,07-293,"Amends: EO 12866, September 30, 1993
Revoked by: EO 13497, January 30, 2009"
13423,,2007-01-24,07-374,"Amends: EO 13327, February 4, 2004
Revokes: EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999; EO 13148, April 21, 2000; EO 13149, April 21, 2000
See: EO 13432, May 14, 2007; EO 13514, October 5, 2009"
13424,,2007-01-26,07-419,"Amends: EO 13285, January 29, 2003"
13425,,2007-02-14,07-780,"Supersedes: Military Order of November 13, 2001"
13426,,2007-03-06,07-1137,
13427,,2007-03-07,07-1152,
13428,,2007-04-02,07-1704,"See: EO 7059-A, June 4, 1935; EO 10992, February 9, 1962"
13429,,2007-04-04,07-1816,"See: EO 13417, December 6, 2006"
13430,,2007-04-18,07-2027,"Amends: EO 12473, April 13, 1984"
13431,,2007-05-08,07-2367,
13432,,2007-05-14,07-2462,"See: EO 12866, September 30, 1993; EO 13423, January 24, 2007"
13433,,2007-05-16,07-2518,
13434,,2007-05-17,07-2570,
13435,,2007-06-20,07-3112,"Revoked by: EO 13505, March 9, 2009"
13436,,2007-06-28,07-3258,"Amends: EO 13381, June 27, 2005"
13437,,2007-06-28,07-3259,
13438,,2007-07-17,07-3552,"See: EO 13303, May 22, 2003; EO 13315, August 28, 2003; EO 13350, July 29, 2004; EO 13364, November 29, 2004; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010"
13439,,2007-07-18,07-3593,
13440,,2007-07-20,07-3656,
13441,,2007-08-01,07-3835,"See: Notice of July 30, 2008; Notice of July 30, 2009; Notice of July 29, 2010"
13442,,2007-08-13,07-4023,"Amends: EO 13286, February 28, 2003
Revokes: EO 13362, November 29, 2004"
13443,,2007-08-16,07-4115,
13444,,2007-09-12,07-4600,
13445,,2007-09-27,07-4890,
13446,,2007-09-28,07-4906,"Amends: EO 12994, March 21, 1996
Continues: EO 11145, March 7,1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 19, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002
Revokes: EO 13369, January 7, 2005
See: EO 13379, June 16, 2005; EO 13386, September 30, 2005
Supersedes in part: EO 13385, September 29, 2005
Superseded in part by: EO 13511, September 29, 2009"
13447,,2007-09-28,07-4907,"See: EO 12473, April 13, 1984; EO 13262, April 11, 2002"
13448,,2007-10-18,07-5270,"See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13464, April 30, 2008; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010"
13449,,2007-10-20,07-5299,"See: Proclamation 5030, March 10, 1983"
13450,,2007-11-13,07-5726,
13451,,2007-11-19,07-5816,
13452,,2007-11-28,X07-11130,
13453,,2007-12-06,07-6022,"See: EO 11582, February 11, 1971"
13454,,2008-01-04,08-62,"Supersedes: EO 13420, December 21, 2006
Superseded by: EO 13483, December 18, 2008"
13455,,2008-01-22,08-325,
13456,,2008-01-23,08-360,"Amends: EO 11858, May 7, 1975
Revokes in part: EO 12919, June 3, 1994"
13457,,2008-01-29,08-483,
13458,,2008-02-04,08-568,
13459,,2008-02-07,08-658,
13460,,2008-02-13,08-761,"Amends: EO 13338, May 11, 2004
See: EO 13399, April 25, 2006; Notice of May 7, 2008; Notice of May 7, 2009; Notice of May 3, 2010; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011"
13461,,2008-02-15,08-797,"Revokes: EO 13250, December 28, 2001; Memorandum of March 19, 2002"
13462,,2008-02-29,08-970,"Amended by: EO 13516, October 28, 2009
Revokes: EO 12863, September 13, 1993
See: EO 12333, December 4, 1981; EO 12958, April 17, 1995; EO 12968, August 2, 1995; EO 13470, July 30, 2008"
13463,,2008-04-18,08-1182,"Amends: EO 13389, November 1, 2005; EO 13390, November 1, 2005"
13464,,2008-04-30,X08-10502,"See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010"
13465,,2008-06-06,08-1348,"Amends: EO 12989, February 5, 1996"
13466,,2008-06-26,08-1399,"See: Notice of June 24, 2009; Notice of June 14, 2010; EO 13551, August 30, 2010; EO 13570, April 18, 2011"
13467,,2008-06-30,08-1409,"Amends: EO 12171, November 19, 1979; EO 12968, August 2, 1995
Revokes: EO 13381, June 27, 2005
See: EO 10450, April 27, 1953; EO 10577, November 23, 1954; EO 10865, February 20, 1960; EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12958, April 17, 1995; EO 13476, October 9, 2008; EO 13488, January 16, 2008; EO 13549, August 18, 2010"
13468,,2008-07-24,08-1472,"See: EO 12473, April 13, 1984"
13469,,2008-07-25,08-1480,"See: EO 13288, March 6, 2003; EO 13391, November 22, 2005; Notice of March 3, 2009; Notice of March 1, 2010"
13470,,2008-07-30,E8-17940,"See: EO 12036, January 24, 1978; EO 12958, April 17, 1995; EO 13354, August 27, 2004; EO 13355, August 27, 2004; EO 13462, February 29, 2008
Amends: EO 12333, December 4, 1981
Revokes: EO 13354, August 27, 2004, and EO 13355, August 27, 2004, read in conjunction with EO 12333, December 4, 1981"
13471,,2008-08-28,E8-20436,"Amends: EO 13285, January 29, 2003"
13472,,2008-09-11,E8-21651,"See: EO 11030, June 15, 1962"
13473,,2008-09-25,E8-23125,
13474,,2008-09-26,E8-23235,"Amends: EO 12962, June 7, 1995"
13475,,2008-10-07,E8-24342,"Amends: EO 12139, May 23, 1979; EO 12949, February 9, 1995"
13476,,2008-10-09,E8-24465,"See: EO 13467, June 30, 2008
Supersedes: EO 13176, November 27, 2000"
13477,,2008-10-31,E8-26531,
13478,,2008-11-18,E8-27771,"Amends: EO 9397, November 22, 1943"
13479,,2008-11-18,E8-27777,"See: EO 13419, December 20, 2006"
13480,,2008-11-26,E8-28912,"Amends: EO 12171, November 19, 1979"
13481,,2008-12-09,E8-29564,"Supersedes: Memorandum of December 8, 2006
Revoked by: EO 13557, November 4, 2010"
13482,,2008-12-12,E8-30042,"See: EO 11582, February 11, 1971"
13483,,2008-12-18,E8-30700,"Superseded by: EO 13525, December 23, 2009
Supersedes: EO 13454, January, 4, 2008"
13484,,2009-01-09,E9-811,"Amends: EO 13241, December 18, 2001"
13485,,2009-01-09,E9-814,"Supersedes: Memorandum of March 19, 2002"
13486,,2009-01-09,E9-818,
13487,,2009-01-16,E9-1538,
13488,,2009-01-16,E9-1574,"See: EO 10450, April 27, 1953; EO 13467, June 30, 2008"
13489,,2009-01-21,E9-1712,"Revokes: EO 13233, November 1, 2001"
13490,,2009-01-21,E9-1719,
13491,,2009-01-22,E9-1885,"See: EO 13567, March 7, 2011
Revokes: EO 13440, July 20, 2007"
13492,,2009-01-22,E9-1893,"See: EO 13567, March 7, 2011"
13493,,2009-01-22,E9-1895,
13494,,2009-01-30,E9-2483,"Amended by: EO 13517, October 30, 2009"
13495,,2009-01-30,E9-2484,"Revokes: EO 13204, February 17, 2001"
13496,,2009-01-30,E9-2485,"Revokes: EO 13201, February 17, 2001"
13497,,2009-01-30,E9-2486,"Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007
See: EO 12866, September 30, 1993"
13498,,2009-02-05,E9-2893,"Amends: EO 13199, July 29, 2001
See: EO 13559, November 17, 2010; EO 13569, April 5, 2011"
13499,,2009-02-05,E9-3106,"Amends: EO 12835, January 25, 1993"
13500,,2009-02-05,E9-3108,"Amends: EO 12859, August 16, 1993"
13501,,2009-02-06,E9-3112,"Revoked by: EO 13564, January 31, 2011"
13502,,2009-02-06,E9-3113,"Revokes: EO 13202, February 17, 2001; EO 13208, April 6, 2001"
13503,,2009-02-19,E9-4068,
13504,,2009-02-20,E9-4103,"Amends: EO 13390, November 1, 2005"
13505,,2009-03-09,E9-5441,"Revokes: EO 13435, June 20, 2007"
13506,,2009-03-11,E9-5802,
13507,,2009-04-08,E9-8572,"Revoked by: EO 13569, April 5, 2011"
13508,,2009-05-12,E9-11547,
13509,,2009-06-23,E9-15368,"Revoked by: EO 13578, July 6, 2011"
13510,,2009-07-01,E9-16034,
13511,,2009-09-29,E9-23886,"Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, February 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; 
Supersedes in part: EO 13446, September 28, 2007
Superseded by: EO 13585, September 30, 2011"
13512,,2009-09-29,E9-23915,"Amends: EO 13390, November 1, 2005"
13513,,2009-10-01,E9-24203,
13514,,2009-10-05,E9-24518,"See: EO 13423, January 24, 2007"
13515,,2009-10-14,E9-25268,"Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004
Amended by: EO 13585, September 30, 2011"
13516,,2009-10-28,E9-26408,"Federal Register correction page and date: 74 FR 57241, November 5, 2009"
13517,,2009-10-30,E9-26834,"Amends: EO 13183, December 23, 2000; EO 13494, January 30, 2009"
13518,,2009-11-09,E9-27441,"See: EO 13583, August 18, 2011"
13519,,2009-11-17,E9-28022,"Terminates: EO 13271, July 9, 2002"
13520,,2009-11-20,E9-28493,
13521,,2009-11-24,E9-28805,"See: EO 13591, November 23, 2011
Supersedes: EO 13237, November 28, 2001"
13522,,2009-12-09,E9-29781,"See: EO 13591, November 23, 2011"
13523,,2009-12-11,E9-30020,"Federal Register correction page and date: 74 FR 67049, December 18, 2009"
13524,,2009-12-16,E9-30413,"Amends: EO 12425, June 16, 1983"
13525,,2009-12-23,X09-41230,"Supersedes: EO 13483, December 18, 2008
Superseded by: EO 13561, December 22, 2010"
13526,,2010-12-29,E9-31418,"Federal Register correction page and date: 75 FR 1013, January 8, 2010, Executive Order 13526 - Correction
Revokes: EO 12958, April 17, 1995; EO 13292, March 25, 2003
See: EO 12333, December 4, 1981; Memorandum of December 29, 2009 (75 FR 733); Order of December 29, 2009 (75 FR 735); EO 13549, August 18, 2010; EO 13556, November 4, 2010"
13527,,2009-12-30,2010-38,
13528,,2010-01-11,2010-705,
13529,,2010-01-16,2010-1229,
13530,,2010-01-29,2010-2419,"Amended by: EO 13591, November 23, 2011"
13531,,2010-02-18,2010-3725,
13532,,2010-02-26,2010-4593,"See: EO 13591, November 23, 2011
Amended by: EO 13569, April 5, 2011
Revokes: EO 13256, February 12, 2002"
13533,,2010-03-01,2010-4884,"Revokes: EO 13394, December 22, 2005"
13534,,2010-03-11,2010-5837,"See: EO 12870, September 30, 1993"
13535,,2010-03-24,2010-7154,
13536,,2010-04-12,2010-8878,
13537,,2010-04-14,2010-9078,"Supersedes: EO 13299, May 8, 2003"
13538,,2010-04-19,2010-9451,"See: EO 13591, November 23, 2011"
13539,,2010-04-21,2010-9796,"Revokes: EO 13226, September 30, 2001
See: EO 12968, August 2, 1995; EO 13591, November 23, 2011
Amended by: EO 13596, December 19, 2011"
13540,,2010-04-26,2010-10172,"Supersedes: EO 13299, May 8, 2003"
13541,,2010-05-07,2010-11557,
13542,,2010-05-13,2010-12070,"Revokes: EO 13241, December 18, 2001"
13543,,2010-05-21,2010-12805,
13544,,2010-06-10,2010-14613,"See: EO 13591, November 23, 2011"
13545,,2010-06-22,2010-15851,"See: EO 10830, July 24, 1959"
13546,,2010-07-02,2010-16864,
13547,,2010-07-19,2010-18169,"Revokes: EO 13366, December 17, 2004"
13548,,2010-07-26,2010-18988,"See: EO 13163, July 26, 2000; EO 13583, August 18, 2011"
13549,,2010-08-18,2010-21016,"See: EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12968, August 2, 1995; EO 13467, June 30, 2008; EO 13526, December 29, 2009; EO 13591, November 23, 2011"
13550,,2010-08-18,2010-21020,
13551,,2010-08-30,X10-10901,"See: EO 13466, June 26, 2008; EO 13570, April 18, 2011"
13552,,2010-08-31,2010-22279,"See: EO 12473, April 13, 1984"
13553,,2010-09-28,2010-24839,"See: EO 12957, March 15, 1995"
13554,,2010-10-05,2010-25578,
13555,,2010-10-19,2010-27004,
13556,,2010-11-04,2010-28360,"Revokes: Memorandum of May 7, 2008
See: EO 13526, December 29, 2009"
13557,,2010-11-04,2010-28365,"Revokes: EO 13481, December 9, 2008"
13558,,2010-11-09,2010-28854,
13559,,2010-11-17,2010-29579,"Amends: EO 13279, December 12, 2002
See: EO 13198, January 29, 2001; EO 13199, January 29, 2001; EO 13498, February 5, 2009"
13560,,2010-12-14,2010-31878,
13561,,2010-12-22,2010-32961,"Supersedes: EO 13525, December 23, 2009; EO 13594, December 19, 2009"
13562,,2010-12-27,2010-33169,"Supersedes: EO 12015, October 26, 1977
Revokes: EO 13318, November 21, 2003; EO 13162, July 6, 2000"
13563,,2011-01-18,2011-1385,"See: EO 12866, September 30, 1993; EO 13579, July 11, 2011"
13564,,2011-01-31,2011-2577,"Revokes: EO 13501, February 6, 2009"
13565,,2011-02-08,2011-3257,
13566,,2011-02-25,2011-4753,
13567,,2011-03-07,2011-5728,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009"
13568,,2011-03-08,2011-5903,
13569,,2011-04-05,2011-8642,"Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010
Revokes: EO 13507, April 8, 2009
See: EO 13498, February 5, 2009"
13570,,2011-04-18,2011-9739,"See: EO 13466, June 26, 2008; EO 13551, August 30, 2010"
13571,,2011-04-27,2011-10732,"See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998"
13572,,2011-04-29,2011-10910,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011"
13573,,2011-05-18,2011-12645,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011"
13574,,2011-05-23,2011-13173,"See: EO 12957, March 15, 1995"
13575,,2011-06-09,2011-14919,
13576,,2011-06-13,2011-15181,
13577,,2011-06-15,2011-15443,
13578,,2011-07-06,2011-17447,"Revokes: EO 13509, June 23, 2009"
13579,,2011-07-11,2011-17953,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011"
13580,,2011-07-12,2011-18065,"See: EO 13547, June 19, 2010"
13581,,2011-07-24,2011-19156,
13582,,2011-08-17,2011-21505,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; and EO 13573, May 18, 2011"
13583,,2011-08-18,2011-21704,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; and EO 13548, July 26, 2010"
13584,,2011-09-09,2011-23891,
13585,,2011-09-30,2011-26141,"See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13270, July 3, 2002; EO 13515, October 14, 2009; EO 13592, December 2, 2011 
Supersedes: EO 13511, September 29, 2009
Amends: EO 13515, October 14, 2009"
13586,,2011-10-06,2011-26574,
13587,,2011-10-07,2011-26729,
13588,,2011-10-31,2011-28728,
13589,,2011-11-09,2011-29683,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011"
13590,,2011-11-20,2011-30463,"See: EO 12957, March 15, 1995"
13591,,2011-11-23,2011-30990,"Amends: EO 13530, January 29, 2010
See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010"
13592,,2011-12-02,2011-31624,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011"
13593,,2011-12-13,X11-11216,
13594,,2011-12-19,2011-33087,"Supersedes: EO 13561, December 22, 2010"
13595,,2011-12-19,2011-33089,
13596,,2011-12-19,2011-33335,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010"
13597,,2012-01-19,2012-1568,
13598,,2012-01-27,2012-2557,
13599,,2012-02-05,2012-3097,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981"
13600,,2012-02-09,2012-3616,
13601,,2012-02-28,2012-5366,
13602,,2012-03-15,2012-6797,
13603,,2012-03-16,2012-7019,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988"
13604,,2012-03-22,2012-7636,
